sido,sido,sigungu,year,price_median,price_avg,parcels
전라북도,전라북도,,2022,14607,57309,2776881
전라북도,전라북도,,2023,13454,52570,5692712
전라북도,전라북도,,2024,13349,51770,2901237
전라북도,전라북도,,2025,13419,51926,2922357
전라북도,전라북도,,2026,13406,51610,2956712
제주특별자치도,제주특별자치도,,1990,7376,61408,436963
제주특별자치도,제주특별자치도,,1991,7069,62944,450605
제주특별자치도,제주특별자치도,,1992,7453,68664,455280
제주특별자치도,제주특별자치도,,1993,7363,67213,451953
제주특별자치도,제주특별자치도,,1994,7054,65104,457279
제주특별자치도,제주특별자치도,,1995,6470,62961,480545
제주특별자치도,제주특별자치도,,1996,6740,63550,483405
제주특별자치도,제주특별자치도,,1997,7025,65451,489135
제주특별자치도,제주특별자치도,,1998,7546,66545,492315
제주특별자치도,제주특별자치도,,1999,7390,62349,495758
제주특별자치도,제주특별자치도,,2000,8537,65237,494359
제주특별자치도,제주특별자치도,,2001,8780,64730,498640
제주특별자치도,제주특별자치도,,2002,8980,64680,502186
제주특별자치도,제주특별자치도,,2003,10163,66435,507853
제주특별자치도,제주특별자치도,,2004,12242,70143,511591
제주특별자치도,제주특별자치도,,2005,14336,73582,513772
제주특별자치도,제주특별자치도,,2006,13169,64205,471835
제주특별자치도,제주특별자치도,,2007,16841,77865,515079
제주특별자치도,제주특별자치도,,2008,18113,79527,517573
제주특별자치도,제주특별자치도,,2009,18081,77264,520354
제주특별자치도,제주특별자치도,,2010,17887,76561,524128
제주특별자치도,제주특별자치도,,2011,18634,77670,525510
제주특별자치도,제주특별자치도,,2012,19584,79464,525602
제주특별자치도,제주특별자치도,,2013,20598,80738,528718
제주특별자치도,제주특별자치도,,2014,21983,83649,531739
제주특별자치도,제주특별자치도,,2015,25227,91867,536461
제주특별자치도,제주특별자치도,,2016,33994,113640,543222
제주특별자치도,제주특별자치도,,2017,42881,131455,549652
제주특별자치도,제주특별자치도,,2018,52184,152081,555773
제주특별자치도,제주특별자치도,,2019,59036,167215,559936
제주특별자치도,제주특별자치도,,2020,61892,173600,564845
제주특별자치도,제주특별자치도,,2021,67356,187143,569051
제주특별자치도,제주특별자치도,,2022,74558,204820,574060
제주특별자치도,제주특별자치도,,2023,69032,190291,573463
제주특별자치도,제주특별자치도,,2024,69049,189099,579768
제주특별자치도,제주특별자치도,,2025,68886,188751,581441
